=== Regression Results ===
R² (Train): 0.2287
R² (Test): 0.0118
RMSE (Train): 4.6440
RMSE (Test): 5.2910

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
               onehot__route_variant_5012-1     5.630274         5.630274
               onehot__route_variant_9037-1     5.629387         5.629387
               onehot__route_variant_s426-1     5.626029         5.626029
              onehot__route_variant_804-601     5.620010         5.620010
                onehot__route_variant_x74-6     5.616446         5.616446
              onehot__route_variant_394-137     5.611287         5.611287
               onehot__route_variant_478-28     5.605471         5.605471
               onehot__route_variant_132-17     5.604770         5.604770
               onehot__route_variant_196-10     5.598823         5.598823
               onehot__route_variant_m40-27     5.596440         5.596440
              onehot__route_variant_2574-17     5.588454         5.588454
              onehot__route_variant_m91-129     5.585277         5.585277
