=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                transit_stop_2232254    -0.044685         0.044685
                route_variant_t65-74    -0.044639         0.044639
                 transit_stop_219937    -0.044610         0.044610
                 transit_stop_215428     0.044498         0.044498
                 transit_stop_202267    -0.044466         0.044466
                transit_stop_2000167    -0.044430         0.044430
                      suburb_campsie     0.044429         0.044429
               route_variant_711-106     0.044425         0.044425
                 transit_stop_201930     0.044417         0.044417
                route_variant_t61-89    -0.044174         0.044174
                           route_m52    -0.044144         0.044144
               route_variant_2571-21    -0.044106         0.044106
                          route_2571    -0.044106         0.044106
                 transit_stop_219037     0.044083         0.044083
                transit_stop_2170805     0.044079         0.044079
                route_variant_333-42     0.044075         0.044075
                           route_726     0.044049         0.044049
                 transit_stop_276730     0.044049         0.044049
                route_variant_726-78     0.044049         0.044049
                 transit_stop_201755    -0.044043         0.044043
                 transit_stop_202314     0.043982         0.043982
                 transit_stop_213433    -0.043837         0.043837
                 transit_stop_212227    -0.043822         0.043822
                transit_stop_2770194    -0.043817         0.043817
               route_variant_621-355     0.043784         0.043784
                transit_stop_2069101     0.043718         0.043718
                 transit_stop_203577    -0.043696         0.043696
                route_variant_650-30    -0.043614         0.043614
                           route_650    -0.043614         0.043614
                 transit_stop_208711     0.043514         0.043514
                route_variant_461-57    -0.043459         0.043459
                 transit_stop_230542     0.043450         0.043450
                 transit_stop_206594    -0.043413         0.043413
                           route_t71     0.043406         0.043406
                transit_stop_2036115     0.043357         0.043357
                 route_variant_e79-8    -0.043357         0.043357
                 transit_stop_223094    -0.043355         0.043355
                 transit_stop_228583     0.043295         0.043295
                 transit_stop_211762    -0.043167         0.043167
                         depot_dural    -0.043022         0.043022
                 transit_stop_213425    -0.043006         0.043006
                transit_stop_2153186    -0.042969         0.042969
                transit_stop_2190174     0.042915         0.042915
                       suburb_botany     0.042896         0.042896
                 transit_stop_206852     0.042787         0.042787
                 transit_stop_200058     0.042737         0.042737
                transit_stop_2170227    -0.042718         0.042718
                transit_stop_2154115    -0.042706         0.042706
                route_variant_380-98    -0.042689         0.042689
                transit_stop_2121150     0.042657         0.042657
                transit_stop_2155353    -0.042638         0.042638
                 transit_stop_211080     0.042597         0.042597
                 transit_stop_213828    -0.042587         0.042587
                 transit_stop_200043    -0.042552         0.042552
                transit_stop_2153224     0.042497         0.042497
                       suburb_mascot     0.042411         0.042411
                  suburb_cherrybrook    -0.042356         0.042356
                 transit_stop_250253    -0.042335         0.042335
                 transit_stop_203214    -0.042257         0.042257
