=== Regression Results ===
R² (Train): 0.0829
R² (Test): 0.0542
RMSE (Train): 5.0642
RMSE (Test): 5.1763

=== Feature Coefficients ===
                                    Feature  Coefficient  Abs_Coefficient
                    onehot__suburb_sydenham     0.391812         0.391812
               onehot__suburb_bellevue hill     0.391596         0.391596
                     onehot__suburb_arcadia     0.391274         0.391274
               onehot__route_variant_317-11     0.390844         0.390844
                  onehot__suburb_palm beach     0.390216         0.390216
                  onehot__route_variant_1-2     0.387823         0.387823
               onehot__route_variant_301-97     0.387765         0.387765
               onehot__route_variant_908-12     0.386878         0.386878
               onehot__route_variant_2055-1     0.386520         0.386520
                onehot__route_variant_278-8     0.385651         0.385651
                onehot__route_variant_909-2     0.385621         0.385621
                onehot__route_variant_873-7     0.385224         0.385224
               onehot__route_variant_363-13     0.384730         0.384730
                   onehot__suburb_narrabeen     0.384412         0.384412
               onehot__route_variant_t61-79     0.383605         0.383605
              onehot__route_variant_507-153     0.381170         0.381170
               onehot__route_variant_720n-4     0.380577         0.380577
              onehot__route_variant_756-219     0.379919         0.379919
               onehot__suburb_beverly hills     0.379712         0.379712
                  onehot__suburb_riverstone     0.378748         0.378748
                 onehot__suburb_west pymble     0.378696         0.378696
               onehot__route_variant_381-10     0.378478         0.378478
                   onehot__suburb_kingsford     0.378275         0.378275
                    onehot__suburb_somersby     0.377682         0.377682
               onehot__route_variant_544-46     0.376449         0.376449
                onehot__route_variant_854-7     0.375861         0.375861
                         scaler__is_weekend     0.375496         0.375496
             onehot__route_variant_610x-427     0.375254         0.375254
               onehot__route_variant_796w-1     0.375118         0.375118
                  onehot__suburb_castlecrag     0.373038         0.373038
              onehot__route_variant_2003-10     0.372817         0.372817
                onehot__route_variant_450-3     0.372815         0.372815
                 onehot__suburb_beacon hill     0.372258         0.372258
              onehot__route_variant_510-100     0.371209         0.371209
               onehot__route_variant_292-89     0.371197         0.371197
                onehot__route_variant_782-2     0.370621         0.370621
               onehot__route_variant_442-12     0.370415         0.370415
               onehot__route_variant_722-56     0.369996         0.369996
                onehot__route_variant_550-9     0.369691         0.369691
              onehot__suburb_fairfield west     0.368865         0.368865
                onehot__suburb_erskine park     0.366576         0.366576
              onehot__route_variant_3552-19     0.365503         0.365503
               onehot__route_variant_200-12     0.365056         0.365056
               onehot__route_variant_s567-1     0.364805         0.364805
              onehot__route_variant_804-597     0.364389         0.364389
               onehot__route_variant_e71-19     0.361890         0.361890
               onehot__route_variant_770n-1     0.361775         0.361775
                     onehot__suburb_enfield     0.360592         0.360592
                  onehot__suburb_kirribilli     0.359867         0.359867
                onehot__route_variant_277-6     0.359701         0.359701
              onehot__route_variant_947-902     0.358354         0.358354
                onehot__route_variant_n80-3     0.357635         0.357635
                onehot__route_variant_895-7     0.357470         0.357470
               onehot__route_variant_m92-55     0.357410         0.357410
                     onehot__suburb_horsley     0.357138         0.357138
                onehot__route_variant_308-7     0.355642         0.355642
               onehot__route_variant_702s-1     0.353970         0.353970
                  onehot__suburb_rosemeadow     0.351680         0.351680
               onehot__route_variant_139-10     0.350080         0.350080
               onehot__route_variant_324-86     0.347089         0.347089
                onehot__route_variant_164-1     0.345805         0.345805
                    onehot__suburb_clontarf     0.345233         0.345233
               onehot__suburb_gregory hills     0.344633         0.344633
              onehot__route_variant_754-248     0.344242         0.344242
                onehot__route_variant_597-1     0.341714         0.341714
                onehot__route_variant_170-3     0.341418         0.341418
               onehot__route_variant_373-57     0.340669         0.340669
               onehot__route_variant_391-47     0.339839         0.339839
               onehot__route_variant_722-44     0.339838         0.339838
               onehot__route_variant_431-65     0.338326         0.338326
                   onehot__suburb_greenwich     0.337180         0.337180
              onehot__route_variant_619-104     0.337003         0.337003
               onehot__route_variant_s619-1     0.336154         0.336154
               onehot__route_variant_391-48     0.335078         0.335078
               onehot__route_variant_776-38     0.334096         0.334096
                onehot__route_variant_870-8     0.333890         0.333890
                     onehot__suburb_newport     0.333102         0.333102
                     onehot__suburb_willmot     0.332767         0.332767
                  onehot__suburb_schofields     0.332287         0.332287
                  onehot__suburb_kings park     0.332146         0.332146
              onehot__route_variant_817-312     0.331239         0.331239
              onehot__route_variant_802-347     0.331226         0.331226
                    onehot__suburb_rockdale     0.330441         0.330441
                 onehot__direction_outbound     0.328180         0.328180
                    scaler__day_of_week_sin     0.328086         0.328086
           onehot__suburb_north strathfield     0.327754         0.327754
               onehot__route_variant_458-29     0.327405         0.327405
                       onehot__suburb_manly     0.327349         0.327349
               onehot__route_variant_776-42     0.326444         0.326444
                   onehot__suburb_mona vale     0.326295         0.326295
                   onehot__suburb_east ryde     0.325175         0.325175
               onehot__route_variant_79-172     0.323313         0.323313
              onehot__route_variant_610-375     0.322966         0.322966
               onehot__route_variant_412-74     0.321867         0.321867
              onehot__suburb_smeaton grange     0.321647         0.321647
               onehot__route_variant_l38-21     0.320853         0.320853
                    onehot__suburb_oakhurst     0.320723         0.320723
               onehot__route_variant_726-78     0.320528         0.320528
               onehot__route_variant_224-16     0.320429         0.320429
               onehot__route_variant_649s-2     0.319977         0.319977
               onehot__route_variant_e70-10     0.319259         0.319259
              onehot__route_variant_642x-55     0.319212         0.319212
                     onehot__suburb_emerton     0.318762         0.318762
                onehot__route_variant_841-2     0.317377         0.317377
               onehot__route_variant_705e-1     0.315172         0.315172
                onehot__route_variant_168-1     0.314614         0.314614
                  onehot__suburb_halekulani     0.314451         0.314451
              onehot__route_variant_812-155     0.313205         0.313205
              onehot__route_variant_632-335     0.312958         0.312958
               onehot__route_variant_197-18     0.312809         0.312809
           onehot__suburb_cambridge gardens     0.312266         0.312266
              onehot__route_variant_506-113     0.312157         0.312157
               onehot__route_variant_759-30     0.311205         0.311205
               onehot__route_variant_526-13     0.310898         0.310898
                  onehot__suburb_matraville     0.310859         0.310859
                      onehot__suburb_whalan     0.310007         0.310007
               onehot__route_variant_144-11     0.309819         0.309819
                onehot__suburb_concord west     0.309738         0.309738
               onehot__route_variant_64-257     0.309659         0.309659
               onehot__route_variant_284-11     0.309311         0.309311
               onehot__route_variant_775-23     0.309278         0.309278
               onehot__route_variant_446-10     0.308651         0.308651
              onehot__route_variant_690k-59     0.308015         0.308015
                onehot__route_variant_313-4     0.307696         0.307696
                    onehot__suburb_doonside     0.307544         0.307544
               onehot__route_variant_hsc9-2     0.307484         0.307484
                onehot__route_variant_191-1     0.307385         0.307385
                onehot__route_variant_284-8     0.307183         0.307183
